Company,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector,Industry,City,State
Paychex,"$3,151 ",$817.30 ,"$6,834 ","13,700",Business Services,Diversified Outsourcing Services,Rochester,NY
Brinker International,"$3,151 ",$150.80 ,"$1,414 ","57,906","Hotels, Restaurants &  Leisure",Food Services,Dallas,TX
Penn National Gaming,"$3,148 ",$473.50 ,"$5,235 ","18,754","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Wyomissing,PA
Gannett,"$3,147 ",$6.90 ,"$2,570 ","19,000",Media,"Publishing, Printing",McLean,VA
Visteon,"$3,146 ",$176.00 ,"$2,304 ","10,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Van Buren Charter Township,MI
Pinnacle Foods,"$3,144 ",$532.00 ,"$6,578 ","4,900","Food, Beverages &  Tobacco",Food Consumer Products,Parsippany-Troy Hills,NJ
Intuitive Surgical,"$3,129 ",$660.00 ,"$5,758 ","4,444",Health Care,Medical Products and Equipment,Sunnyvale,CA
Continental Resources,"$3,121 ",$789.40 ,"$14,200 ","1,127",Energy,"Mining, Crude-Oil Production",Oklahoma City,OK
Service Corp. International,"$3,095 ",$546.70 ,"$12,865 ","19,468",Business Services,Miscellaneous,Houston,TX
Scientific Games,"$3,084 ",($242.30),"$7,725 ","8,600","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Las Vegas,NV
Albemarle,"$3,072 ",$54.90 ,"$7,751 ","5,400",Chemicals,Chemicals,Charlotte,NC
Atmos Energy,"$3,063 ",$396.40 ,"$10,750 ","4,565",Energy,Utilities: Gas and Electric,Dallas,TX
Hologic,"$3,059 ",$755.50 ,"$7,980 ","6,233",Health Care,Medical Products and Equipment,Marlboro,MA
H& R Block,"$3,036 ",$408.90 ,"$2,694 ","44,900",Financials,Diversified Financials,KCMO,MO
Qorvo,"$3,033 ",($16.60),"$6,522 ","8,600",Technology,Semiconductors and Other Electronic Components,Greensboro,NC
Steelcase,"$3,032 ",$124.60 ,"$1,792 ","12,650",Household Products,"Home Equipment, Furnishings",Grand Rapids,MI
Univision Communications,"$3,016 ",$654.90 ,"$9,599 ","4,500",Media,Entertainment,New York,NY
Worthington Industries,"$3,014 ",$204.50 ,"$2,325 ","10,000",Materials,Metals,Columbus,OH
Timken,"$3,004 ",$203.40 ,"$3,402 ","15,006",Industrials,Industrial Machinery,North Canton,OH
A.O. Smith,"$2,997 ",$296.50 ,"$3,197 ","16,100",Industrials,"Electronics, Electrical Equip.",Milwaukee,WI
PriceSmart,"$2,997 ",$90.70 ,"$1,178 ","7,903",Retailing,General Merchandisers,San Diego,CA
Stifel Financial,"$2,997 ",$182.90 ,"$21,384 ","7,100",Financials,Securities,St. Louis,MO
Brown-Forman,"$2,994 ",$669.00 ,"$4,625 ","4,570","Food, Beverages &  Tobacco",Beverages,Louisville,KY
Cinemark Holdings,"$2,992 ",$264.20 ,"$4,471 ","19,915",Media,Entertainment,Plano,TX
Granite Construction,"$2,990 ",$69.10 ,"$1,872 ","3,600",Engineering &  Construction,"Engineering, Construction",Watsonville,CA
Dycom Industries,"$2,978 ",$151.30 ,"$1,841 ","14,365",Engineering &  Construction,"Engineering, Construction",Palm Beach Gardens,FL
Clean Harbors,"$2,945 ",$100.70 ,"$3,707 ","12,700",Business Services,Waste Management,Norwell,MA
First Solar,"$2,941 ",($165.60),"$6,865 ","4,100",Energy,Energy,Tempe,AZ
Scotts Miracle-Gro,"$2,936 ",$218.30 ,"$2,747 ","4,700",Chemicals,Chemicals,Marysville,OH
Cracker Barrel Old Country Store,"$2,926 ",$201.90 ,"$1,522 ","73,000","Hotels, Restaurants &  Leisure",Food Services,Lebanon,TN
Triple-S Management,"$2,916 ",$54.50 ,"$3,117 ","3,517",Health Care,Health Care: Insurance and Managed Care,San Juan,Puerto Rico
First Republic Bank,"$2,912 ",$757.70 ,"$87,781 ","4,025",Financials,Commercial Banks,SF,CA
ServiceMaster Global Holdings,"$2,912 ",$510.00 ,"$5,646 ","13,000",Business Services,Diversified Outsourcing Services,Memphis,TN
PC Connection,"$2,912 ",$54.90 ,$748 ,"2,505",Retailing,Specialty Retailers: Other,Merrimack,NH
Genesco,"$2,907 ",($111.80),"$1,315 ","19,350",Retailing,Specialty Retailers: Apparel,Nashville,TN
Medical Mutual of Ohio,"$2,895 ",$8.10 ,"$2,234 ","2,244",Financials,"Insurance: Life, Health (Mutual)",Cleveland,OH
MSC Industrial Direct,"$2,888 ",$231.40 ,"$2,099 ","6,563",Wholesalers,Wholesalers: Diversified,Melville,NY
Legg Mason,"$2,887 ",$227.30 ,"$8,290 ","3,338",Financials,Securities,Baltimore,MD
Hyster-Yale Materials Handling,"$2,885 ",$48.60 ,"$1,648 ","6,800",Industrials,Industrial Machinery,Cleveland,OH
Apollo Global Management,"$2,884 ",$629.10 ,"$6,991 ","1,047",Financials,Securities,New York,NY
Citrix Systems,"$2,883 ",($20.70),"$5,820 ","7,500",Technology,Computer Software,Fort Lauderdale,FL
Acadia Healthcare,"$2,877 ",$199.80 ,"$6,425 ","34,050",Health Care,Health Care: Medical Facilities,Franklin,TN
Varian Medical Systems,"$2,862 ",$249.60 ,"$3,179 ","6,600",Health Care,Medical Products and Equipment,Palo Alto,CA
Groupon,"$2,859 ",$14.00 ,"$1,678 ","6,672",Technology,Internet Services and Retailing,Chicago,IL
Aleris,"$2,858 ",($210.60),"$2,644 ","5,400",Materials,Metals,Cleveland,OH
Sprague Resources,"$2,855 ",$29.50 ,"$1,363 ",981,Wholesalers,Wholesalers: Diversified,Portsmouth,NH
Cooper Tire & Rubber,"$2,855 ",$95.40 ,"$2,608 ","9,204",Motor Vehicles &  Parts,Motor Vehicles and Parts,Findlay,OH
Hain Celestial Group,"$2,853 ",$67.40 ,"$2,931 ","7,825","Food, Beverages &  Tobacco",Food Consumer Products,Lake Success,NY
Penn Mutual Life Insurance,"$2,851 ",$594.00 ,"$31,660 ","3,089",Financials,"Insurance: Life, Health (stock)",Horsham,PA
Colony NorthStar,"$2,842 ",($197.90),"$24,786 ",544,Financials,Real estate,Los Angeles,CA
ArcBest,"$2,827 ",$59.70 ,"$1,366 ","13,000",Transportation,"Trucking, Truck Leasing",Fort Smith,AR
Presidio,"$2,818 ",$4.40 ,"$2,651 ","2,700",Technology,Information Technology Services,New York,NY
TRI Pointe Group,"$2,810 ",$187.20 ,"$3,805 ","1,251",Engineering &  Construction,Homebuilders,Irvine,CA
Annaly Capital Management,"$2,809 ","$1,569.60 ","$101,760 ",152,Financials,Diversified Financials,New York,NY
