Company,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector,Industry,City,State,revenue,employees
Progressive,"$26,839 ","$1,592.20 ","$38,701 ","33,656",Financials,Insurance: Property and Casualty (Stock),Mayfield,OH,26839.0,33656
Arrow Electronics,"$26,813 ",$402.00 ,"$16,463 ","18,800",Wholesalers,Wholesalers: Electronics and Office Equipment,Centennial,CO,26813.0,18800
Kraft Heinz,"$26,232 ","$10,999.00 ","$120,232 ","39,000","Food, Beverages &  Tobacco",Food Consumer Products,Pittsburgh,PA,26232.0,39000
Plains GP Holdings,"$26,223 ",($731.00),"$26,753 ","4,850",Energy,Pipelines,Houston,TX,26223.0,4850
Gilead Sciences,"$26,107 ","$4,628.00 ","$70,283 ","10,000",Health Care,Pharmaceuticals,San Mateo,CA,26107.0,10000
Mondelez International,"$25,896 ","$2,922.00 ","$63,109 ","83,000","Food, Beverages &  Tobacco",Food Consumer Products,Deerfield,IL,25896.0,83000
Northrop Grumman,"$25,803 ","$2,015.00 ","$34,917 ","70,000",Aerospace &  Defense,Aerospace and Defense,Falls Church,VA,25803.0,70000
Raytheon,"$25,348 ","$2,024.00 ","$30,860 ","64,000",Aerospace &  Defense,Aerospace and Defense,Waltham,MA,25348.0,64000
Macys,"$24,837 ","$1,547.00 ","$19,381 ","130,000",Retailing,General Merchandisers,Cincinnati,OH,24837.0,130000
US Foods Holding,"$24,147 ",$444.30 ,"$9,037 ","25,204",Wholesalers,Wholesalers: Food and Grocery,Rosemont,IL,24147.0,25204
U.S. Bancorp,"$23,996 ","$6,218.00 ","$462,040 ","72,402",Financials,Commercial Banks,Minneapolis,MN,23996.0,72402
Dollar General,"$23,471 ","$1,539.00 ","$12,517 ","129,000",Retailing,Specialty Retailers: Other,Goodlettsville,TN,23471.0,129000
International Paper,"$23,302 ","$2,144.00 ","$33,903 ","56,000",Materials,"Packaging, Containers",Memphis,TN,23302.0,56000
Duke Energy,"$23,189 ","$3,059.00 ","$137,914 ","29,060",Energy,Utilities: Gas and Electric,Charlotte,NC,23189.0,29060
Southern,"$23,031 ",$842.00 ,"$111,005 ","31,344",Energy,Utilities: Gas and Electric,Atlanta,GA,23031.0,31344
