Company,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector,Industry,City,State,revenue,employees
Hubbell,"$3,669 ",$243.10 ,"$3,721 ","17,700",Industrials,"Electronics, Electrical Equip.",Shelton,CT,3669.0,17700
Trinity Industries,"$3,663 ",$702.50 ,"$9,543 ","15,605",Transportation,Transportation Equipment,Dallas,TX,3663.0,15605
Darling Ingredients,"$3,662 ",$128.50 ,"$4,958 ","9,800","Food, Beverages &  Tobacco",Food Production,Irving,TX,3662.0,9800
Flowserve,"$3,661 ",$2.70 ,"$4,911 ","17,000",Industrials,Industrial Machinery,Irving,TX,3661.0,17000
Antero Resources,"$3,656 ",$615.10 ,"$15,262 ",593,Energy,"Mining, Crude-Oil Production",Denver,CO,3656.0,593
Skyworks Solutions,"$3,651 ","$1,010.20 ","$4,574 ","8,400",Technology,Semiconductors and Other Electronic Components,Woburn,MA,3651.0,8400
Landstar System,"$3,649 ",$177.10 ,"$1,353 ","1,273",Transportation,"Trucking, Truck Leasing",Jacksonville,FL,3649.0,1273
Buckeye Partners,"$3,648 ",$478.80 ,"$10,305 ","1,870",Energy,Pipelines,Houston,TX,3648.0,1870
MRC Global,"$3,646 ",$50.00 ,"$2,340 ","3,580",Energy,"Oil and Gas Equipment, Services",Houston,TX,3646.0,3580
CME Group,"$3,645 ","$4,063.40 ","$75,791 ","2,830",Financials,Securities,Chicago,IL,3645.0,2830
Greif,"$3,638 ",$118.60 ,"$3,232 ","13,000",Materials,"Packaging, Containers",Delaware,OH,3638.0,13000
Nexeo Solutions,"$3,637 ",$14.40 ,"$2,254 ","2,640",Wholesalers,Wholesalers: Diversified,The Woodlands,TX,3637.0,2640
Cooper-Standard Holdings,"$3,618 ",$135.30 ,"$2,726 ","32,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Novi,MI,3618.0,32000
Urban Outfitters,"$3,616 ",$108.30 ,"$1,953 ","16,330",Retailing,Specialty Retailers: Apparel,Philadelphia,PA,3616.0,16330
LSC Communications,"$3,603 ",($57.00),"$2,014 ","24,000",Media,"Publishing, Printing",Chicago,IL,3603.0,24000
Sabre,"$3,599 ",$242.50 ,"$5,649 ","9,000",Technology,Internet Services and Retailing,Southlake,TX,3599.0,9000
Green Plains,"$3,596 ",$61.10 ,"$2,785 ","1,427",Energy,Energy,Omaha,NE,3596.0,1427
Hexion,"$3,591 ",($234.00),"$2,097 ","4,300",Chemicals,Chemicals,Columbus,OH,3591.0,4300
Stericycle,"$3,581 ",$42.40 ,"$6,988 ","23,200",Business Services,Waste Management,Lake Forest,IL,3581.0,23200
Warner Music Group,"$3,576 ",$143.00 ,"$5,718 ","4,520",Media,Entertainment,New York,NY,3576.0,4520
Ventas,"$3,574 ","$1,356.50 ","$23,955 ",493,Financials,Real estate,Chicago,IL,3574.0,493
ScanSource,"$3,568 ",$69.20 ,"$1,718 ","2,000",Wholesalers,Wholesalers: Electronics and Office Equipment,Greenville,SC,3568.0,2000
Pinnacle West Capital,"$3,565 ",$488.50 ,"$17,019 ","6,292",Energy,Utilities: Gas and Electric,Phoenix,AZ,3565.0,6292
Scripps Networks Interactive,"$3,562 ",$623.90 ,"$6,522 ","3,600",Media,Entertainment,Knoxville,TN,3562.0,3600
Alexion Pharmaceuticals,"$3,551 ",$443.30 ,"$13,583 ","2,525",Health Care,Pharmaceuticals,New Haven,CT,3551.0,2525
Pitney Bowes,"$3,550 ",$261.30 ,"$6,679 ","14,700",Technology,"Computers, Office Equipment",Stamford,CT,3550.0,14700
CIT Group,"$3,545 ",$468.20 ,"$49,279 ","4,167",Financials,Commercial Banks,New York,NY,3545.0,4167
Country Financial,"$3,542 ",$187.30 ,"$14,664 ","3,834",Financials,Insurance: Property and Casualty (Mutual),Bloomington,IL,3542.0,3834
CUNA Mutual Group,"$3,541 ",$303.20 ,"$20,595 ","3,300",Financials,"Insurance: Life, Health (stock)",Madison,WI,3541.0,3300
Triumph Group,"$3,533 ",($43.00),"$4,415 ","14,309",Aerospace &  Defense,Aerospace and Defense,Berwyn,PA,3533.0,14309
TransDigm Group,"$3,529 ",$596.90 ,"$9,976 ","9,200",Aerospace &  Defense,Aerospace and Defense,Cleveland,OH,3529.0,9200
Allegheny Technologies,"$3,525 ",($91.90),"$5,185 ","8,600",Materials,Metals,Pittsburgh,PA,3525.0,8600
Resolute Forest Products,"$3,513 ",($84.00),"$4,147 ","7,700",Materials,Forest and Paper Products,Catawba,SC,3513.0,7700
Acuity Brands,"$3,505 ",$321.70 ,"$2,900 ","12,500",Industrials,"Electronics, Electrical Equip.",Atlanta,GA,3505.0,12500
Abercrombie & Fitch,"$3,493 ",$7.10 ,"$2,326 ","22,500",Retailing,Specialty Retailers: Apparel,New Albany,OH,3493.0,22500
KLA-Tencor,"$3,480 ",$926.10 ,"$5,532 ","5,990",Technology,Semiconductors and Other Electronic Components,Milpitas,CA,3480.0,5990
Weis Markets,"$3,467 ",$98.40 ,"$1,442 ","23,000",Food &  Drug Stores,Food and Drug Stores,Sunbury,PA,3467.0,23000
Puget Energy,"$3,460 ",$175.20 ,"$13,691 ","3,140",Energy,Utilities: Gas and Electric,Bellevue,WA,3460.0,3140
Mednax,"$3,458 ",$320.40 ,"$5,867 ","14,000",Health Care,Health Care: Pharmacy and Other Services,Fort Lauderdale,FL,3458.0,14000
Kar Auction Services,"$3,458 ",$362.00 ,"$6,984 ","15,488",Wholesalers,Wholesalers: Diversified,Carmel,IN,3458.0,15488
PolyOne,"$3,452 ",($57.70),"$2,705 ","6,400",Chemicals,Chemicals,Avon Lake,OH,3452.0,6400
FMC,"$3,442 ",$535.80 ,"$9,206 ","7,000",Chemicals,Chemicals,Philadelphia,PA,3442.0,7000
Edwards Lifesciences,"$3,435 ",$583.60 ,"$5,696 ","12,200",Health Care,Medical Products and Equipment,Irvine,CA,3435.0,12200
Microchip Technology,"$3,426 ",$164.60 ,"$7,687 ","12,656",Technology,Semiconductors and Other Electronic Components,Chandler,AZ,3426.0,12656
Amerco,"$3,422 ",$398.40 ,"$9,406 ","20,376",Transportation,"Trucking, Truck Leasing",Reno,NV,3422.0,20376
Mercury General,"$3,416 ",$144.90 ,"$5,101 ","4,300",Financials,Insurance: Property and Casualty (Stock),Los Angeles,CA,3416.0,4300
American National Insurance,"$3,411 ",$493.70 ,"$26,387 ","4,621",Financials,"Insurance: Life, Health (stock)",Galveston,TX,3411.0,4621
Carters,"$3,400 ",$302.80 ,"$2,068 ","20,900",Apparel,Apparel,Atlanta,GA,3400.0,20900
International Flavors & Fragrances,"$3,399 ",$295.70 ,"$4,599 ","7,300",Chemicals,Chemicals,New York,NY,3399.0,7300
Aarons,"$3,384 ",$292.50 ,"$2,692 ","11,900",Retailing,Specialty Retailers: Other,Atlanta,GA,3384.0,11900
Alliant Energy,"$3,382 ",$457.30 ,"$14,188 ","3,989",Energy,Utilities: Gas and Electric,Madison,WI,3382.0,3989
EQT,"$3,378 ","$1,508.50 ","$29,523 ","2,067",Energy,Energy,Pittsburgh,PA,3378.0,2067
Monster Beverage,"$3,369 ",$820.70 ,"$4,791 ","2,589","Food, Beverages &  Tobacco",Beverages,Corona,CA,3369.0,2589
BMC Stock Holdings,"$3,366 ",$57.40 ,"$1,473 ","9,100",Wholesalers,Wholesalers: Diversified,Atlanta,GA,3366.0,9100
Ryerson Holding,"$3,365 ",$17.10 ,"$1,712 ","3,600",Materials,Metals,Chicago,IL,3365.0,3600
Equifax,"$3,362 ",$587.30 ,"$7,233 ","10,300",Business Services,Financial Data Services,Atlanta,GA,3362.0,10300
Regal Beloit,"$3,360 ",$213.00 ,"$4,388 ","23,600",Industrials,"Electronics, Electrical Equip.",Beloit,WI,3360.0,23600
Old Dominion Freight Line,"$3,358 ",$463.80 ,"$3,068 ","19,183",Transportation,"Trucking, Truck Leasing",Thomasville,NC,3358.0,19183
American Water Works,"$3,357 ",$426.00 ,"$19,482 ","6,900",Energy,Miscellaneous,Voorhees Township,NJ,3357.0,6900
BGC Partners,"$3,353 ",$51.50 ,"$5,457 ","9,238",Financials,Securities,New York,NY,3353.0,9238
Brinks,"$3,347 ",$16.70 ,"$3,060 ","62,150",Business Services,Diversified Outsourcing Services,Richmond,VA,3347.0,62150
Meritor,"$3,347 ",$16.70 ,"$3,060 ","62,150",Business Services,Diversified Outsourcing Services,Richmond,VA,3347.0,62150
Sentry Insurance Group,"$3,346 ",$288.50 ,"$17,302 ","4,139",Financials,Insurance: Property and Casualty (Mutual),Stevens Point,WI,3346.0,4139
Sanderson Farms,"$3,342 ",$279.70 ,"$1,733 ","14,669","Food, Beverages &  Tobacco",Food Production,Laurel,MS,3342.0,14669
KapStone Paper & Packaging,"$3,316 ",$243.50 ,"$3,324 ","6,400",Materials,"Packaging, Containers",Northbrook,IL,3316.0,6400
Gartner,"$3,312 ",$3.30 ,"$7,283 ","15,131",Technology,Information Technology Services,Stamford,CT,3312.0,15131
IAC/InterActiveCorp,"$3,307.20 ",$304.90 ,"$5,867.80 ",7000,Technology,Internet Services and Retailing,New York City,NY,3307.2,7000
Tailored Brands,"$3,304 ",$96.70 ,"$2,000 ","18,200",Retailing,Specialty Retailers: Apparel,Houston,TX,3304.0,18200
WABCO Holdings,"$3,304 ",$406.10 ,"$4,323 ","14,631",Motor Vehicles &  Parts,Motor Vehicles and Parts,Rochester Hills,MI,3304.0,14631
Insperity,"$3,300 ",$84.40 ,"$1,064 ","2,900",Business Services,Diversified Outsourcing Services,Houston,TX,3300.0,2900
Comerica,"$3,289 ",$743.00 ,"$71,567 ","7,999",Financials,Commercial Banks,Dallas,TX,3289.0,7999
TriNet Group,"$3,275 ",$178.00 ,"$2,593 ","2,700",Business Services,Diversified Outsourcing Services,San Leandro,CA,3275.0,2700
Avaya Holdings,"$3,272 ",-,"$5,898 ","8,700",Technology,Information Technology Services,Santa Clara,CA,3272.0,8700
Ashland Global Holdings,"$3,260 ",$1.00 ,"$8,618 ","6,500",Chemicals,Chemicals,Covington,KY,3260.0,6500
Meritage Homes,"$3,241 ",$143.30 ,"$3,251 ","1,605",Engineering &  Construction,Homebuilders,Scottsdale,AZ,3241.0,1605
SkyWest,"$3,204 ",$428.90 ,"$5,458 ","16,300",Transportation,Airlines,St. George,UT,3204.0,16300
USG,"$3,204 ",$88.00 ,"$3,851 ","6,800",Materials,"Building Materials, Glass",Chicago,IL,3204.0,6800
Southwestern Energy,"$3,203 ","$1,046.00 ","$7,521 ","1,575",Energy,"Mining, Crude-Oil Production",Spring,TX,3203.0,1575
Keysight Technologies,"$3,189 ",$102.00 ,"$5,933 ","12,600",Technology,"Scientific,Photographic and  Control Equipment",Santa Rosa,CA,3189.0,12600
Regal Entertainment Group,"$3,163 ",$112.30 ,"$2,843 ","26,047",Media,Entertainment,Knoxville,TN,3163.0,26047
Mutual of America Life Insurance,"$3,163 ",$26.20 ,"$21,194 ","1,079",Financials,"Insurance: Life, Health (Mutual)",New York,NY,3163.0,1079
Paychex,"$3,151 ",$817.30 ,"$6,834 ","13,700",Business Services,Diversified Outsourcing Services,Rochester,NY,3151.0,13700
Brinker International,"$3,151 ",$150.80 ,"$1,414 ","57,906","Hotels, Restaurants &  Leisure",Food Services,Dallas,TX,3151.0,57906
Penn National Gaming,"$3,148 ",$473.50 ,"$5,235 ","18,754","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Wyomissing,PA,3148.0,18754
Gannett,"$3,147 ",$6.90 ,"$2,570 ","19,000",Media,"Publishing, Printing",McLean,VA,3147.0,19000
Visteon,"$3,146 ",$176.00 ,"$2,304 ","10,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Van Buren Charter Township,MI,3146.0,10000
Pinnacle Foods,"$3,144 ",$532.00 ,"$6,578 ","4,900","Food, Beverages &  Tobacco",Food Consumer Products,Parsippany-Troy Hills,NJ,3144.0,4900
Intuitive Surgical,"$3,129 ",$660.00 ,"$5,758 ","4,444",Health Care,Medical Products and Equipment,Sunnyvale,CA,3129.0,4444
Continental Resources,"$3,121 ",$789.40 ,"$14,200 ","1,127",Energy,"Mining, Crude-Oil Production",Oklahoma City,OK,3121.0,1127
Service Corp. International,"$3,095 ",$546.70 ,"$12,865 ","19,468",Business Services,Miscellaneous,Houston,TX,3095.0,19468
Scientific Games,"$3,084 ",($242.30),"$7,725 ","8,600","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Las Vegas,NV,3084.0,8600
Albemarle,"$3,072 ",$54.90 ,"$7,751 ","5,400",Chemicals,Chemicals,Charlotte,NC,3072.0,5400
Atmos Energy,"$3,063 ",$396.40 ,"$10,750 ","4,565",Energy,Utilities: Gas and Electric,Dallas,TX,3063.0,4565
Hologic,"$3,059 ",$755.50 ,"$7,980 ","6,233",Health Care,Medical Products and Equipment,Marlboro,MA,3059.0,6233
H& R Block,"$3,036 ",$408.90 ,"$2,694 ","44,900",Financials,Diversified Financials,KCMO,MO,3036.0,44900
Qorvo,"$3,033 ",($16.60),"$6,522 ","8,600",Technology,Semiconductors and Other Electronic Components,Greensboro,NC,3033.0,8600
Steelcase,"$3,032 ",$124.60 ,"$1,792 ","12,650",Household Products,"Home Equipment, Furnishings",Grand Rapids,MI,3032.0,12650
Univision Communications,"$3,016 ",$654.90 ,"$9,599 ","4,500",Media,Entertainment,New York,NY,3016.0,4500
Worthington Industries,"$3,014 ",$204.50 ,"$2,325 ","10,000",Materials,Metals,Columbus,OH,3014.0,10000
Timken,"$3,004 ",$203.40 ,"$3,402 ","15,006",Industrials,Industrial Machinery,North Canton,OH,3004.0,15006
A.O. Smith,"$2,997 ",$296.50 ,"$3,197 ","16,100",Industrials,"Electronics, Electrical Equip.",Milwaukee,WI,2997.0,16100
PriceSmart,"$2,997 ",$90.70 ,"$1,178 ","7,903",Retailing,General Merchandisers,San Diego,CA,2997.0,7903
Stifel Financial,"$2,997 ",$182.90 ,"$21,384 ","7,100",Financials,Securities,St. Louis,MO,2997.0,7100
Brown-Forman,"$2,994 ",$669.00 ,"$4,625 ","4,570","Food, Beverages &  Tobacco",Beverages,Louisville,KY,2994.0,4570
Cinemark Holdings,"$2,992 ",$264.20 ,"$4,471 ","19,915",Media,Entertainment,Plano,TX,2992.0,19915
Granite Construction,"$2,990 ",$69.10 ,"$1,872 ","3,600",Engineering &  Construction,"Engineering, Construction",Watsonville,CA,2990.0,3600
Dycom Industries,"$2,978 ",$151.30 ,"$1,841 ","14,365",Engineering &  Construction,"Engineering, Construction",Palm Beach Gardens,FL,2978.0,14365
Clean Harbors,"$2,945 ",$100.70 ,"$3,707 ","12,700",Business Services,Waste Management,Norwell,MA,2945.0,12700
First Solar,"$2,941 ",($165.60),"$6,865 ","4,100",Energy,Energy,Tempe,AZ,2941.0,4100
Scotts Miracle-Gro,"$2,936 ",$218.30 ,"$2,747 ","4,700",Chemicals,Chemicals,Marysville,OH,2936.0,4700
Cracker Barrel Old Country Store,"$2,926 ",$201.90 ,"$1,522 ","73,000","Hotels, Restaurants &  Leisure",Food Services,Lebanon,TN,2926.0,73000
Triple-S Management,"$2,916 ",$54.50 ,"$3,117 ","3,517",Health Care,Health Care: Insurance and Managed Care,San Juan,Puerto Rico,2916.0,3517
First Republic Bank,"$2,912 ",$757.70 ,"$87,781 ","4,025",Financials,Commercial Banks,SF,CA,2912.0,4025
ServiceMaster Global Holdings,"$2,912 ",$510.00 ,"$5,646 ","13,000",Business Services,Diversified Outsourcing Services,Memphis,TN,2912.0,13000
PC Connection,"$2,912 ",$54.90 ,$748 ,"2,505",Retailing,Specialty Retailers: Other,Merrimack,NH,2912.0,2505
Genesco,"$2,907 ",($111.80),"$1,315 ","19,350",Retailing,Specialty Retailers: Apparel,Nashville,TN,2907.0,19350
Medical Mutual of Ohio,"$2,895 ",$8.10 ,"$2,234 ","2,244",Financials,"Insurance: Life, Health (Mutual)",Cleveland,OH,2895.0,2244
MSC Industrial Direct,"$2,888 ",$231.40 ,"$2,099 ","6,563",Wholesalers,Wholesalers: Diversified,Melville,NY,2888.0,6563
Legg Mason,"$2,887 ",$227.30 ,"$8,290 ","3,338",Financials,Securities,Baltimore,MD,2887.0,3338
Hyster-Yale Materials Handling,"$2,885 ",$48.60 ,"$1,648 ","6,800",Industrials,Industrial Machinery,Cleveland,OH,2885.0,6800
Apollo Global Management,"$2,884 ",$629.10 ,"$6,991 ","1,047",Financials,Securities,New York,NY,2884.0,1047
Citrix Systems,"$2,883 ",($20.70),"$5,820 ","7,500",Technology,Computer Software,Fort Lauderdale,FL,2883.0,7500
Acadia Healthcare,"$2,877 ",$199.80 ,"$6,425 ","34,050",Health Care,Health Care: Medical Facilities,Franklin,TN,2877.0,34050
Varian Medical Systems,"$2,862 ",$249.60 ,"$3,179 ","6,600",Health Care,Medical Products and Equipment,Palo Alto,CA,2862.0,6600
Groupon,"$2,859 ",$14.00 ,"$1,678 ","6,672",Technology,Internet Services and Retailing,Chicago,IL,2859.0,6672
Aleris,"$2,858 ",($210.60),"$2,644 ","5,400",Materials,Metals,Cleveland,OH,2858.0,5400
Sprague Resources,"$2,855 ",$29.50 ,"$1,363 ",981,Wholesalers,Wholesalers: Diversified,Portsmouth,NH,2855.0,981
Cooper Tire & Rubber,"$2,855 ",$95.40 ,"$2,608 ","9,204",Motor Vehicles &  Parts,Motor Vehicles and Parts,Findlay,OH,2855.0,9204
Hain Celestial Group,"$2,853 ",$67.40 ,"$2,931 ","7,825","Food, Beverages &  Tobacco",Food Consumer Products,Lake Success,NY,2853.0,7825
Penn Mutual Life Insurance,"$2,851 ",$594.00 ,"$31,660 ","3,089",Financials,"Insurance: Life, Health (stock)",Horsham,PA,2851.0,3089
Colony NorthStar,"$2,842 ",($197.90),"$24,786 ",544,Financials,Real estate,Los Angeles,CA,2842.0,544
ArcBest,"$2,827 ",$59.70 ,"$1,366 ","13,000",Transportation,"Trucking, Truck Leasing",Fort Smith,AR,2827.0,13000
Presidio,"$2,818 ",$4.40 ,"$2,651 ","2,700",Technology,Information Technology Services,New York,NY,2818.0,2700
TRI Pointe Group,"$2,810 ",$187.20 ,"$3,805 ","1,251",Engineering &  Construction,Homebuilders,Irvine,CA,2810.0,1251
Annaly Capital Management,"$2,809 ","$1,569.60 ","$101,760 ",152,Financials,Diversified Financials,New York,NY,2809.0,152
G-III Apparel Group,"$2,807 ",$62.10 ,"$1,915 ","9,961",Apparel,Apparel,New York,NY,2807.0,9961
AMC Networks,"$2,806 ",$471.30 ,"$5,033 ","2,039",Media,Entertainment,New York,NY,2806.0,2039
Enable Midstream Partners,"$2,803 ",$436.00 ,"$11,593 ","1,630",Energy,Pipelines,Oklahoma City,OK,2803.0,1630
Ciena,"$2,802 ","$1,262.00 ","$3,952 ","5,737",Technology,Network and Other Communications Equipment,Hanover,MD,2802.0,5737
DSW,"$2,800 ",$67.30 ,"$1,414 ","12,000",Retailing,Specialty Retailers: Apparel,Columbus,OH,2800.0,12000
Convergys,"$2,792 ",$121.40 ,"$2,415 ","115,000",Business Services,Diversified Outsourcing Services,Cincinnati,OH,2792.0,115000
Park Hotels & Resorts,"$2,791 ","$2,625.00 ","$9,714 ",520,Financials,Real estate,McLean,VA,2791.0,520
Pool,"$2,788 ",$191.60 ,"$1,101 ","4,000",Wholesalers,Wholesalers: Diversified,Covington,LA,2788.0,4000
Fossil Group,"$2,788 ",($478.20),"$1,658 ","12,300",Apparel,Apparel,Richardson,TX,2788.0,12300
Dominos Pizza,"$2,788 ",$277.90 ,$837 ,"14,200","Hotels, Restaurants &  Leisure",Food Services,Ann Arbor,MI,2788.0,14200
Crane,"$2,786 ",$171.80 ,"$3,594 ","10,600",Industrials,Industrial Machinery,Stamford,CT,2786.0,10600
Caleres,"$2,786 ",$87.20 ,"$1,489 ","12,000",Retailing,Specialty Retailers: Apparel,St. Louis,MO,2786.0,12000
Tempur Sealy International,"$2,754 ",$151.40 ,"$2,694 ","7,000",Household Products,"Home Equipment, Furnishings",Lexington,KY,2754.0,7000
Tetra Tech,"$2,753 ",$117.90 ,"$1,903 ","16,000",Engineering &  Construction,"Engineering, Construction",Pasadena,CA,2753.0,16000
Illumina,"$2,752 ",$726.00 ,"$5,257 ","6,200",Technology,"Scientific,Photographic and  Control Equipment",San Diego,CA,2752.0,6200
Valmont Industries,"$2,746 ",$116.20 ,"$2,602 ","10,690",Materials,Metals,Omaha,NE,2746.0,10690
Hill-Rom Holdings,"$2,744 ",$133.60 ,"$4,529 ","10,000",Health Care,Medical Products and Equipment,Chicago,IL,2744.0,10000
Unisys,"$2,742 ",($65.30),"$2,542 ","20,500",Technology,Information Technology Services,Blue Bell,PA,2742.0,20500
Zions Bancorp.,"$2,736 ",$592.00 ,"$66,288 ","10,083",Financials,Commercial Banks,Salt Lake City,UT,2736.0,10083
Sinclair Broadcast Group,"$2,734 ",$576.00 ,"$6,785 ","8,900",Media,Entertainment,Cockeysville,MD,2734.0,8900
Louisiana-Pacific,"$2,734 ",$389.80 ,"$2,449 ","5,000",Materials,"Building Materials, Glass",Nashville,TN,2734.0,5000
Mettler-Toledo International,"$2,725 ",$376.00 ,"$2,550 ","14,600",Technology,"Scientific,Photographic and  Control Equipment",Columbus,OH,2725.0,14600
Synopsys,"$2,725 ",$136.60 ,"$5,396 ","11,686",Technology,Computer Software,Mountain View,CA,2725.0,11686
Kemper,"$2,723 ",$120.90 ,"$8,376 ","5,550",Financials,Insurance: Property and Casualty (Stock),Chicago,IL,2723.0,5550
Cabot,"$2,717 ",$241.00 ,"$3,314 ","4,500",Chemicals,Chemicals,Boston,MA,2717.0,4500
Great Plains Energy,"$2,708 ",($106.20),"$12,458 ","2,709",Energy,Utilities: Gas and Electric,KCMO,MO,2708.0,2709
Rent-A-Center,"$2,703 ",$6.70 ,"$1,421 ","18,300",Retailing,Specialty Retailers: Other,Plano,TX,2703.0,18300
Hawaiian Holdings,"$2,696 ",$364.00 ,"$2,860 ","6,660",Transportation,Airlines,Honolulu,HI,2696.0,6660
Revlon,"$2,694 ",($183.20),"$3,057 ","7,800",Household Products,Household and Personal Products,New York,NY,2694.0,7800
Syneos Health,"$2,672 ",($138.50),"$7,286 ","21,000",Health Care,Health Care: Pharmacy and Other Services,Raleigh,NC,2672.0,21000
Public Storage,"$2,669 ","$1,442.20 ","$10,733 ","5,600",Financials,Real estate,Glendale,CA,2669.0,5600
TTM Technologies,"$2,659 ",$124.20 ,"$2,782 ","29,000",Technology,Semiconductors and Other Electronic Components,Costa Mesa,CA,2659.0,29000
Vectren,"$2,657 ",$216.00 ,"$6,239 ","5,500",Energy,Utilities: Gas and Electric,Evansville,IN,2657.0,5500
Trimble,"$2,654 ",$121.10 ,"$4,298 ","9,523",Technology,"Scientific,Photographic and  Control Equipment",Sunnyvale,CA,2654.0,9523
NOW,"$2,648 ",($52.00),"$1,749 ","4,463",Wholesalers,Wholesalers: Diversified,Houston,TX,2648.0,4463
Spirit Airlines,"$2,648 ",$420.60 ,"$4,144 ","6,100",Transportation,Airlines,Miramar,FL,2648.0,6100
ASGN,"$2,626 ",$157.70 ,"$1,810 ","3,800",Business Services,Temporary Help,Calabasas,CA,2626.0,3800
Lincoln Electric Holdings,"$2,624 ",$247.50 ,"$2,407 ","11,000",Industrials,Industrial Machinery,Cleveland,OH,2624.0,11000
Prologis,"$2,618 ","$1,652.30 ","$29,481 ","1,565",Financials,Real estate,SF,CA,2618.0,1565
Range Resources,"$2,611 ",$333.10 ,"$11,729 ",773,Energy,"Mining, Crude-Oil Production",Fort Worth,TX,2611.0,773
Teledyne Technologies,"$2,604 ",$227.20 ,"$3,846 ","10,340",Aerospace &  Defense,Aerospace and Defense,Thousand Oaks,CA,2604.0,10340
Vishay Intertechnology,"$2,604 ",($20.30),"$3,459 ","23,000",Technology,Semiconductors and Other Electronic Components,Malvern,PA,2604.0,23000
Boston Properties,"$2,602 ",$462.40 ,"$19,372 ",740,Financials,Real estate,Boston,MA,2602.0,740
Applied Industrial Technologies,"$2,594 ",$133.90 ,"$1,388 ","5,554",Wholesalers,Wholesalers: Diversified,Cleveland,OH,2594.0,5554
Graham Holdings,"$2,592 ",$302.00 ,"$4,938 ","16,153",Business Services,Education,Arlington,VA,2592.0,16153
Amica Mutual Insurance,"$2,590 ",$96.10 ,"$6,355 ","3,693",Financials,Insurance: Property and Casualty (Mutual),Lincoln,RI,2590.0,3693
Concho Resources,"$2,586 ",$956.00 ,"$13,732 ","1,203",Energy,"Mining, Crude-Oil Production",Midland,TX,2586.0,1203
ITT,"$2,585 ",$113.50 ,"$3,700 ","10,000",Industrials,Industrial Machinery,White Plains,NY,2585.0,10000
Kansas City Southern,"$2,583 ",$962.00 ,"$9,199 ","7,130",Transportation,Railroads,KCMO,MO,2583.0,7130
MDC Holdings,"$2,578 ",$141.80 ,"$2,780 ","1,491",Engineering &  Construction,Homebuilders,Denver,CO,2578.0,1491
Evergy,"$2,571 ",$323.90 ,"$11,624 ","2,205",Energy,Utilities: Gas and Electric,Topeka,KS,2571.0,2205
Pinnacle Entertainment,"$2,562 ",$63.10 ,"$3,950 ","15,377","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Las Vegas,NV,2562.0,15377
Hawaiian Electric Industries,"$2,556 ",$165.30 ,"$13,100 ","3,880",Energy,Utilities: Gas and Electric,Honolulu,HI,2556.0,3880
TEGNA,"$2,550 ",$273.70 ,"$4,962 ","5,283",Media,Entertainment,McLean,VA,2550.0,5283
Southwest Gas Holdings,"$2,549 ",$193.80 ,"$6,237 ","7,771",Energy,Utilities: Gas and Electric,Las Vegas,NV,2549.0,7771
Vista Outdoor,"$2,547 ",($274.50),"$2,977 ","6,400",Household Products,Miscellaneous,Farmington,UT,2547.0,6400
Bon-Ton Stores,"$2,541 ",($90.70),"$1,587 ","23,300",Retailing,General Merchandisers,York,PA,2541.0,23300
Super Micro Computer,"$2,530 ",$69.30 ,"$1,489 ","2,699",Technology,"Computers, Office Equipment",San Jose,CA,2530.0,2699
Plexus,"$2,528 ",$112.10 ,"$1,976 ","16,000",Technology,Semiconductors and Other Electronic Components,Neenah,WI,2528.0,16000
TrueBlue,"$2,509 ",$55.50 ,"$1,109 ","5,500",Business Services,Temporary Help,Tacoma,WA,2509.0,5500
Magellan Midstream Partners,"$2,508 ",$869.50 ,"$7,394 ","1,802",Energy,Pipelines,Tulsa,OK,2508.0,1802
Toro,"$2,505 ",$267.70 ,"$1,494 ","6,779",Industrials,Construction and Farm Machinery,Bloomington,MN,2505.0,6779
Akamai Technologies,"$2,503 ",$218.30 ,"$4,603 ","7,650",Technology,Internet Services and Retailing,Cambridge,MA,2503.0,7650
Moog,"$2,498 ",$141.30 ,"$3,091 ","10,675",Aerospace &  Defense,Aerospace and Defense,Elma Center,NY,2498.0,10675
Vertex Pharmaceuticals,"$2,489 ",$263.50 ,"$3,546 ","2,300",Health Care,Pharmaceuticals,Boston,MA,2489.0,2300
Equity Residential,"$2,471 ",$603.50 ,"$20,571 ","2,683",Financials,Real estate,Chicago,IL,2471.0,2683
Selective Insurance Group,"$2,470 ",$168.80 ,"$7,686 ","2,260",Financials,Insurance: Property and Casualty (Stock),Branchville,NJ,2470.0,2260
AptarGroup,"$2,469 ",$220.00 ,"$3,138 ","13,200",Materials,"Packaging, Containers",Crystal Lake,IL,2469.0,13200
Benchmark Electronics,"$2,467 ",($32.00),"$2,097 ","10,600",Technology,Semiconductors and Other Electronic Components,Scottsdale,AZ,2467.0,10600
Columbia Sportswear,"$2,466 ",$105.10 ,"$2,213 ","6,188",Apparel,Apparel,Portland,OR,2466.0,6188
A. Schulman,"$2,461 ",$33.00 ,"$1,754 ","4,900",Chemicals,Chemicals,Fairlawn,OH,2461.0,4900
Verso,"$2,461 ",($30.00),"$1,732 ","4,200",Materials,Forest and Paper Products,Miamisburg,OH,2461.0,4200
